{x=1345,m=187,a=274,s=930}
{x=1516,m=91,a=87,s=248}
{x=2066,m=15,a=1152,s=1224}
{x=2375,m=532,a=3410,s=1319}
{x=195,m=117,a=548,s=332}
{x=1316,m=1907,a=312,s=2860}
{x=498,m=143,a=111,s=14}
{x=791,m=2481,a=1750,s=109}
{x=2501,m=1645,a=186,s=138}
{x=1226,m=1772,a=1323,s=1074}
{x=157,m=872,a=1702,s=11}
{x=110,m=1782,a=1995,s=42}
{x=225,m=402,a=531,s=1823}
{x=1385,m=1778,a=2048,s=1256}
{x=2042,m=1768,a=183,s=1230}
{x=107,m=908,a=133,s=298}
{x=474,m=1387,a=868,s=219}
{x=2040,m=2389,a=634,s=378}
{x=24,m=160,a=318,s=1525}
{x=2511,m=2025,a=29,s=3066}
{x=521,m=237,a=2490,s=494}
{x=81,m=650,a=47,s=300}
{x=913,m=512,a=1035,s=976}
{x=3137,m=1024,a=1945,s=1553}
{x=2624,m=19,a=2883,s=1392}
{x=431,m=2619,a=106,s=1054}
{x=2879,m=1830,a=2721,s=64}
{x=487,m=2084,a=538,s=986}
{x=1975,m=1505,a=2336,s=2371}
{x=1579,m=2715,a=22,s=173}
{x=104,m=420,a=215,s=507}
{x=606,m=1143,a=650,s=601}
{x=321,m=594,a=1683,s=115}
{x=1957,m=94,a=1928,s=801}
{x=83,m=720,a=846,s=14}
{x=3590,m=125,a=944,s=1443}
{x=17,m=893,a=1983,s=362}
{x=1561,m=1,a=942,s=1559}
{x=315,m=150,a=91,s=2445}
{x=2340,m=542,a=112,s=301}
{x=373,m=53,a=2477,s=4}
{x=505,m=609,a=1069,s=479}
{x=1770,m=1150,a=2763,s=141}
{x=2620,m=310,a=1088,s=1231}
{x=2007,m=1227,a=822,s=1506}
{x=1639,m=1517,a=759,s=1587}
{x=734,m=199,a=54,s=264}
{x=201,m=3285,a=1106,s=1002}
{x=998,m=1988,a=342,s=220}
{x=802,m=11,a=502,s=3234}
{x=329,m=2740,a=408,s=1384}
{x=2399,m=379,a=1418,s=1496}
{x=1530,m=367,a=1589,s=592}
{x=1455,m=1064,a=736,s=862}
{x=1591,m=1523,a=638,s=1161}
{x=1312,m=1037,a=1998,s=423}
{x=1147,m=209,a=236,s=493}
{x=258,m=967,a=484,s=1157}
{x=144,m=240,a=495,s=1754}
{x=1414,m=871,a=3527,s=1422}
{x=340,m=922,a=407,s=354}
{x=272,m=21,a=701,s=2289}
{x=245,m=1479,a=1428,s=506}
{x=605,m=826,a=94,s=1711}
{x=617,m=521,a=2074,s=2048}
{x=314,m=180,a=1052,s=341}
{x=66,m=1371,a=2677,s=907}
{x=2043,m=257,a=573,s=235}
{x=3188,m=977,a=286,s=789}
{x=444,m=237,a=1891,s=280}
{x=1048,m=229,a=722,s=785}
{x=135,m=345,a=310,s=131}
{x=1732,m=1182,a=1268,s=144}
{x=505,m=74,a=1092,s=1575}
{x=82,m=12,a=1627,s=1386}
{x=592,m=52,a=159,s=3}
{x=447,m=140,a=234,s=1535}
{x=1328,m=1478,a=3650,s=851}
{x=684,m=525,a=1206,s=525}
{x=176,m=199,a=876,s=96}
{x=532,m=868,a=374,s=188}
{x=1283,m=1776,a=207,s=647}
{x=125,m=3170,a=1234,s=209}
{x=2789,m=2694,a=1770,s=12}
{x=812,m=232,a=890,s=26}
{x=802,m=401,a=149,s=2388}
{x=185,m=317,a=1569,s=389}
{x=2155,m=401,a=612,s=28}
{x=597,m=2059,a=519,s=514}
{x=239,m=544,a=176,s=1913}
{x=151,m=268,a=67,s=2401}
{x=1074,m=1531,a=855,s=593}
{x=224,m=1081,a=2594,s=1737}
{x=1092,m=204,a=84,s=544}
{x=2070,m=344,a=582,s=2839}
{x=366,m=1247,a=5,s=1654}
{x=3215,m=1483,a=100,s=115}
{x=2757,m=25,a=420,s=2919}
{x=185,m=189,a=2308,s=2276}
{x=199,m=504,a=64,s=1123}
{x=41,m=196,a=1056,s=3393}
{x=65,m=3576,a=355,s=353}
{x=240,m=209,a=25,s=516}
{x=3870,m=2209,a=959,s=19}
{x=266,m=699,a=90,s=132}
{x=574,m=69,a=99,s=695}
{x=1351,m=134,a=1152,s=1764}
{x=144,m=2920,a=16,s=848}
{x=1025,m=579,a=106,s=1895}
{x=1303,m=2025,a=2837,s=695}
{x=1863,m=2492,a=105,s=2070}
{x=524,m=2272,a=650,s=1171}
{x=296,m=855,a=2195,s=178}
{x=852,m=883,a=1129,s=1479}
{x=226,m=1069,a=583,s=1460}
{x=1844,m=1967,a=285,s=2029}
{x=237,m=100,a=2208,s=947}
{x=1313,m=159,a=179,s=3167}
{x=2016,m=761,a=648,s=1130}
{x=255,m=1059,a=477,s=1967}
{x=816,m=165,a=279,s=1425}
{x=1955,m=781,a=34,s=4}
{x=122,m=481,a=959,s=1732}
